bowler,Bowling_Skill,Country
RS Gavaskar,spin,India
RV Gomez,pace,India
AC Thomas,pace,overseas
M Manhas,spin,India
NJ Rimmington,pace,overseas
RN ten Doeschate,pace,overseas
BA Bhatt,spin,India
PC Valthaty,pace,India
S Dhawan,spin,India
NL McCullum,spin,overseas
JE Taylor,pace,overseas
KMDN Kulasekara,pace,overseas
P Parameswaran,pace,India
Anand Rajan,pace,India
Y Gnaneswara Rao,pace,India
AA Chavan,spin,India
S Rana,pace,India
SS Mundhe,pace,India
AL Menaria,spin,India
S Randiv,spin,overseas
ND Doshi,spin,India
MR Marsh,pace,overseas
SM Harwood,pace,overseas
D du Preez,pace,overseas
TL Suman,spin,India
LA Carseldine,pace,overseas
C Nanda,spin,India
SS Sarkar,pace,India
AM Rahane,pace,India
AB McDonald,pace,overseas
MN Samuels,spin,overseas
CK Langeveldt,pace,overseas
DL Chahar,pace,India
JM Kemp,pace,overseas
Bipul Sharma,spin,India
SE Bond,pace,overseas
AC Voges,spin,overseas
J Theron,pace,overseas
PD Collingwood,pace,overseas
SB Wagh,pace,India
AG Murtaza,spin,India
GR Napier,pace,overseas
DAJ Bracewell,pace,overseas
GB Hogg,spin,overseas
DJ Muthuswami,pace,India
TA Boult,pace,overseas
DJ Hooda,spin,India
D Wiese,pace,overseas
Gurkeerat Singh,spin,India
J Yadav,spin,India
BB Sran,pace,India
M Ashwin,spin,India
C Munro,pace,overseas
CR Brathwaite,pace,overseas
Mustafizur Rahman,pace,overseas
Kuldeep Yadav,spin,India
KH Pandya,spin,India
S Kaushik,spin,India
SM Boland,pace,overseas
A Zampa,spin,overseas
Sachin Baby,spin,India
JW Hastings,pace,overseas
S Gopal,spin,India
BCJ Cutting,pace,overseas
Imran Tahir,spin,India
V Pratap Singh,pace,India
A Chandila,spin,India
P Negi,spin,India
MJ Clarke,spin,overseas
BW Hilfenhaus,pace,overseas
S Badree,spin,overseas
AS Rajpoot,pace,India
GH Vihari,spin,India
Ankit Sharma,spin,India
BMAJ Mendis,spin,overseas
SMSM Senanayake,spin,overseas
JO Holder,pace,overseas
KW Richardson,pace,overseas
Parvez Rasool,spin,India
NM Coulter-Nile,pace,overseas
M Vijay,spin,India
R Tewatia,spin,India
SA Yadav,spin,India
R Rampaul,pace,overseas
S Tyagi,pace,India
KS Williamson,spin,overseas
RE van der Merwe,spin,overseas
BAW Mendis,spin,overseas
RG Sharma,spin,India
MF Maharoof,pace,India
TM Dilshan,spin,overseas
PM Sarvesh Kumar,pace,India
RR Powar,spin,India
Shoaib Akhtar,pace,overseas
AD Mascarenhas,pace,overseas
B Akhil,pace,India
DJ Thornely,pace,overseas
SM Pollock,pace,overseas
DP Vijaykumar,pace,India
M Ntini,pace,overseas
Umar Gul,pace,overseas
V Kohli,pace,India
CRD Fernando,pace,overseas
ST Jayasuriya,spin,overseas
Sohail Tanvir,pace,overseas
Shahid Afridi,spin,overseas
VY Mahesh,pace,India
AM Nayar,pace,India
Mohammad Hafeez,spin,overseas
SB Styris,pace,overseas
T Thushara,pace,overseas
GD McGrath,pace,overseas
WPUJC Vaas,pace,overseas
FH Edwards,pace,overseas
WA Mota,pace,India
KP Pietersen,spin,overseas
K Goel,spin,India
SC Ganguly,pace,India
AM Salvi,pace,India
VS Malik,pace,India
RS Bopara,pace,overseas
LR Shukla,pace,India
KP Appanna,spin,India
JD Ryder,pace,overseas
T Henderson,pace,overseas
Kamran Khan,pace,India
BJ Hodge,spin,overseas
YA Abdulla,pace,India
JA Morkel,pace,overseas
M Morkel,pace,overseas
B Kumar,pace,India
UT Yadav,pace,India
I Sharma,pace,India
SP Narine,spin,overseas
AB Dinda,pace,India
JH Kallis,pace,overseas
PP Ojha,spin,India
DS Kulkarni,pace,India
MM Sharma,pace,India
SR Watson,pace,overseas
SK Trivedi,pace,India
KA Pollard,pace,overseas
R Bhatia,pace,India
A Nehra,pace,India
L Balaji,pace,India
RA Jadeja,spin,India
SK Warne,spin,overseas
MM Patel,pace,India
M Muralitharan,spin,overseas
RP Singh,pace,India
MJ McClenaghan,pace,overseas
M Kartik,spin,India
DL Vettori,spin,overseas
CH Morris,pace,overseas
MS Gony,pace,India
B Lee,pace,overseas
KV Sharma,spin,India
YK Pathan,spin,India
IC Pandey,pace,India
Sandeep Sharma,pace,India
AR Patel,spin,India
MA Starc,pace,overseas
PV Tambe,spin,India
YS Chahal,spin,India
R Dhawan,pace,India
S Sreesanth,pace,India
Yuvraj Singh,spin,India
MG Johnson,pace,overseas
DT Christian,pace,overseas
TG Southee,pace,overseas
STR Binny,pace,India
JD Unadkat,pace,India
DE Bollinger,pace,overseas
R Sharma,spin,India
DP Nannes,pace,overseas
JJ Bumrah,pace,India
SW Tait,pace,overseas
AD Mathews,pace,overseas
Harmeet Singh,spin,India
CH Gayle,spin,overseas
MC Henriques,pace,overseas
A Singh,pace,India
RJ Harris,pace,overseas
SB Jakati,spin,India
J Botha,spin,overseas
WD Parnell,pace,overseas
Iqbal Abdulla,spin,India
JP Faulkner,pace,overseas
P Awana,pace,India
KK Cooper,pace,overseas
AD Russell,pace,overseas
DR Smith,pace,overseas
A Kumble,spin,India
JP Duminy,spin,overseas
Azhar Mahmood,pace,overseas
HV Patel,pace,India
PJ Sangwan,pace,India
VR Aaron,pace,India
SK Raina,spin,India
Shakib Al Hasan,spin,overseas
S Aravind,pace,India
S Nadeem,spin,India
A Symonds,spin,overseas
DJ Bravo,pace,overseas
Z Khan,pace,India
R Vinay Kumar,pace,India
R Ashwin,spin,India
IK Pathan,pace,India
PP Chawla,spin,India
SL Malinga,pace,overseas
DW Steyn,pace,overseas
A Mishra,spin,India
Harbhajan Singh,spin,India
P Kumar,pace,India
Rashid Khan,spin,overseas
BA Stokes,pace,overseas
HH Pandyapace,,India
CR Woakes,pace,overseas
MP Stoinis,pace,overseas
PJ Cummins,pace,overseas
Basil Thampi,pace,India
CJ Anderson,pace,overseas
GJ Maxwell,spin,overseas
SN Thakur,pace,India
KC Cariappa,spin,India
Mohammad Shami,pace,India
S Kaul,pace,India
Anureet Singh,pace,India
AB Agarkar,pace,India
JR Hopes,pace,overseas
M Muralitharan,spin,overseas
Joginder Sharma,pace,India
DJ Hussey,spin,overseas
Pankaj Singh,pace,India
VRV Singh,pace,India
Y Venugopal Rao,spin,India
A Mithun,pace,India
R McLaren,pace,overseas
SJ Srivastava,pace,India
NLTC Perera,pace,overseas
AN Ahmed,pace,India
A Ashish Reddy,pace,India
DJG Sammy,pace,overseas
Karanveer Singh,spin,India
J Suchith,spin,India
